ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
COL,Colombia,avh,Average annual hours worked by persons engaged,2786.89,2774.03,2761.23,2748.49,2735.81,2723.18,2710.61,2698.11,2685.65,2673.26,2660.92,2655.11,2649.31,2643.52,2637.74,2631.97,2626.22,2620.48,2614.76,2609.04,2603.34,2591.69,2580.09,2568.55,2556.91,2545.32,2533.79,2522.3,2510.87,2499.5,2488.17,2475.24,2462.38,2449.58,2436.85,2424.19,2411.6,2399.06,2386.6,2374.2,2362.2,2350.17,2338.21,2353.75,2369.4,2363.68,2357.97,2352.28,2346.6,2346.6,2346.6,2346.6,2438.13,2418.88,2404.5,2416.1,2444.57,2473.38,2502.52,2460.84,2453.9,2435.02,2419.69,2413.49,2405.14,2395.83,2392.21,2376.43,2385.94,2382.61,2069.44,2405.39,2503.57,2470.61
COL,Colombia,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",37977.30078125,38317.734375,41168.546875,44315.4453125,47751.9765625,49568.37890625,49745.9375,50169.37109375,51244.3203125,53769.75390625,57198.2578125,61024.94140625,65526.72265625,68607.53125,74666.96875,73719.640625,80353.8828125,80434.1015625,85515.0546875,91821.6953125,98238.1171875,111264.5859375,120341.53125,130982.7734375,144000.296875,154370.640625,164311.390625,171313.484375,185464.625,194662.9375,206461.578125,209816.359375,211228.671875,209986.421875,213348.40625,215205.875,220008.984375,226088.328125,233402.421875,239255.515625,248487,249798.015625,256553.078125,271977.34375,282538.46875,297143.90625,304549.4375,311348.9375,304589.96875,288709.5,289635.59375,291502.40625,293275.1875,298953.15625,308506.625,325189.3125,353113.53125,385112.40625,414169,434323.03125,472504.40625,516872.6875,544182.25,563468.25,586602.5625,613397.5625,613540.75,623451.9375,650551,691517.6875,677254.5,749821.25,812484.4375,826269.6875
COL,Colombia,cda,"Real domestic absorption, (real consumption plus investment), at current PPPs (in mil. 2021US$)",50261.81640625,50467.55078125,54087.09375,59018.421875,65578.328125,68349.9140625,68782.4765625,67590.453125,66184.9140625,69400.9921875,75301.96875,80913.96875,83875.90625,86301.640625,94642.8359375,92884.828125,101317.0390625,101918.9453125,110371.3984375,117424.0234375,128003.7421875,142760.828125,151473.9375,165602.34375,187009.546875,190594.234375,202564.625,214474.8125,230383.21875,238553.65625,254212.265625,263938.6875,268220,264725,264314.9375,261230.3125,267370.96875,277515.8125,288660.59375,289832.125,296995.21875,294103.6875,319551.15625,352038.65625,370784.28125,388386.4375,382946.34375,388927.0625,376877.6875,333199.15625,340696.84375,347498.28125,355829.78125,367945.53125,384842.625,410899.90625,450542.09375,495429.03125,534370.1875,543729.125,589013.625,652753.125,676341.625,690798.8125,726203.125,743259,729398.5625,738824.9375,776652.4375,831426.5,795178.25,884148.625,970769.3125,947659.6875
COL,Colombia,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2021US$),45024.46875,45443.828125,48637.52734375,53301.26171875,58792.234375,60156.3203125,61298.83984375,60869.68359375,60358.47265625,63313.6171875,66986.3125,71104.890625,74528.0625,76596.9140625,83403.6328125,83237.9609375,87282.84375,90978.5703125,96558.578125,103008.8671875,111618.5078125,122729.71875,135739.40625,150587.96875,162374.34375,172932.9375,185953.03125,197584.109375,210769.859375,217086.234375,228326.546875,227250.1875,229703.890625,228689.40625,234058.890625,235028.40625,254007.546875,253969.671875,260587.03125,267629.40625,280321.875,284770,293571.5625,307433.6875,323908.84375,338183.84375,340422.875,347551.875,337479.65625,322429.375,333960,332827.15625,339658.71875,350762.625,370578.75,397079.125,432447.6875,475310.96875,519065.71875,531467.5,579835.3125,646819.125,668237.625,678492.5625,696811.875,694243.0625,683159.75,703694.1875,741538.25,785680.625,743080.75,821202.375,902125.0625,902844.625
COL,Colombia,cgdpo,Output-side real GDP at current PPPs (in mil. 2021US$),44851.94140625,45539.35546875,48830.77734375,53155.89453125,57991.328125,59858.87109375,61011.53515625,60752.3125,60797.6875,64281.0234375,67748.8671875,71978.7421875,75515.5859375,77726.21875,83982.984375,84057.421875,88825.0625,92237.75,98243.765625,104605.7109375,112992.3203125,124897.2734375,136913.171875,151141.765625,164267.015625,174438.25,185748.28125,194705.046875,209196.609375,216864.046875,228474.46875,229848.6875,231722.453125,231035.359375,235447.421875,236214.734375,250921.796875,252648.796875,260820.953125,266819.71875,278673.71875,278393.46875,294309.9375,311687.09375,328452.75,343069.75,343682.90625,350251.5625,341742.78125,324188.15625,334099.28125,335353.34375,342020.59375,353501.125,370891.65625,398696.34375,435110.53125,478453.6875,525248.5625,536269.375,588043.4375,659983.75,680812.5,685627,709567.0625,710097.875,695000.625,710407.25,750755.25,797424.1875,760045.25,837966.375,904721.625,911782.625
COL,Colombia,ck,Capital services levels at current PPPs (USA=1),,,,,0.019324004650116,0.0200560167431831,0.0208565164357424,0.0209901910275221,0.0204152632504702,0.0200859922915697,0.0203100331127644,0.0200489554554224,0.0197383221238852,0.0196372102946043,0.0194495990872383,0.0193938724696636,0.0191357862204313,0.0189670938998461,0.0191822908818722,0.0193457156419754,0.019490959122777,0.0199273545295,0.0198393017053604,0.019569668918848,0.0189637709408999,0.0190297923982143,0.0185642186552286,0.0176501087844372,0.01680101826787,0.0166194308549166,0.016466561704874,0.0171991232782602,0.0181134287267923,0.0189959071576595,0.0191439259797335,0.0190566647797823,0.019126595929265,0.0189868435263634,0.0191464554518461,0.0194005556404591,0.0193623322993517,0.0192199535667896,0.0194067750126123,0.0201005227863789,0.0207109767943621,0.0210461691021919,0.0211153645068407,0.0211384147405624,0.0210135728120804,0.0202031806111336,0.0190092325210571,0.0185103956609964,0.0187536310404539,0.0188663620501757,0.0191529896110296,0.0198949705809355,0.0208078548312187,0.0220206025987864,0.023430148139596,0.0250085666775703,0.0265545379370451,0.0276480969041586,0.0266869533807039,0.0257826540619135,0.0258442740887404,0.0249477997422218,0.0226697772741318,0.0235607288777828,0.0251767504960299,0.0267323013395071,0.0272713601589203,0.0269278902560473,0.027653930708766,0.0277778934687376
COL,Colombia,cn,Capital stock at current PPPs (in mil. 2021US$),198681.09375,206160.171875,218266.953125,232363.703125,252225.328125,271759.09375,291166.78125,297786.65625,301441.90625,318060.875,339103.4375,360395.65625,380407.65625,394908.40625,417534.3125,432385.8125,447465.6875,468449,494003.84375,518075.78125,545712.6875,575941.375,591459.875,601705.8125,615392.8125,628079.6875,632075.9375,627163.625,625262.25,629189.1875,646320.0625,679079.5,710758.4375,736721.9375,764693.3125,790747.1875,816937.5625,841383.6875,880290.0625,910728.25,932486.75,957555.625,989813.3125,1046966.875,1104367.125,1154213.5,1199985.875,1244056.375,1283292.625,1281810.375,1280866.625,1301964,1334128.375,1375948.625,1435891,1497947.375,1581870.125,1691187,1791755,1889937.5,1993335.625,2100901,2095909,2126578,2167499.25,2150410.25,2047769.125,2154886.5,2390923.25,2624349,2826335.75,2882305,2985489.25,3050380
COL,Colombia,cor_exp,Correlation between expenditure shares of the country and the US (benchmark observations only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722477262773352,,,,,,0.658012776605076,0.655710355576127,0.691277341336717,0.702398457313148,0.707025081519933,0.69637210184048,0.704777400485695,0.708894945684997,0.709149516229595,0.705115341217669,0.695318181128023,,
COL,Colombia,csh_c,Share of household consumption at current PPPs,0.784818649291992,0.771763265132904,0.772534608840942,0.754856288433075,0.748597741127014,0.750946521759033,0.741810083389282,0.759395718574524,0.772546350955963,0.769067704677582,0.773837327957153,0.776580572128296,0.793802320957184,0.806274175643921,0.816725373268127,0.798604667186737,0.825188517570496,0.789587378501892,0.78939813375473,0.794655323028565,0.780817627906799,0.786445379257202,0.78539764881134,0.77173924446106,0.789165914058685,0.798319518566132,0.799951612949371,0.794706881046295,0.800015211105347,0.804160416126251,0.8025963306427,0.813709080219269,0.814387142658234,0.818111658096314,0.818647503852844,0.824235558509827,0.796855688095093,0.814513146877289,0.813255846500397,0.815795600414276,0.819344818592072,0.825353682041168,0.798702776432037,0.795312881469727,0.778718590736389,0.786646783351898,0.793997287750244,0.783366620540619,0.781887471675873,0.771761476993561,0.752857506275177,0.754238247871399,0.746502459049225,0.735075354576111,0.719932317733765,0.702436566352844,0.696338415145874,0.689753890037537,0.672715902328491,0.683634579181671,0.673858284950256,0.652674913406372,0.665282547473908,0.671017646789551,0.664875268936157,0.681935608386993,0.678734242916107,0.66426283121109,0.652794659137726,0.646815061569214,0.657686829566956,0.67018985748291,0.688378989696503,0.68973171710968
COL,Colombia,csh_g,Share of government consumption at current PPPs,0.0619072876870632,0.0696569532155991,0.0705514326691628,0.0788319706916809,0.0748352780938149,0.0771409273147583,0.0735429599881172,0.0664061307907105,0.0703199058771133,0.0674116909503937,0.0704315528273583,0.0712383687496185,0.0739221200346947,0.0764078199863434,0.0723472163081169,0.0784105956554413,0.0794422924518585,0.0824428498744965,0.0810393020510674,0.0831332504749298,0.0886053666472435,0.104403391480446,0.0935647487640381,0.0948826968669891,0.087457463145256,0.0866391211748123,0.0846401080489159,0.0851547196507454,0.0865414068102837,0.093466192483902,0.101056434214115,0.0991364642977715,0.0971717685461044,0.0907813832163811,0.087492860853672,0.0868247672915459,0.0799473375082016,0.0803588405251503,0.0816201940178871,0.0808979868888855,0.0723323747515678,0.0719304010272026,0.0730077624320984,0.0772844702005386,0.0814917683601379,0.0794858261942864,0.0921376794576645,0.105562910437584,0.109396785497665,0.118800088763237,0.114057183265686,0.115001410245895,0.11097564548254,0.110616847872734,0.11186483502388,0.113194935023785,0.115210592746735,0.115156628191471,0.115804046392441,0.126262560486794,0.129661276936531,0.130484834313393,0.134030446410179,0.150811493396759,0.161829650402069,0.181885495781899,0.204057440161705,0.21333509683609,0.213734090328217,0.220374226570129,0.233384490013123,0.224620819091797,0.209670096635818,0.216481730341911
